,City          
0,New York      
1,Houston       
2,Miami         
3,Seattle       
4,Houston       
5,Atlanta       
6,Boston        
7,Dallas        
8,Chicago       
9,Dallas        
10,Seattle       
11,San Francisco 
12,Atlanta       
13,Seattle       
14,New York      
15,Los Angeles   
16,San Francisco 
17,Chicago       
18,Boston        
19,San Francisco 
20,Atlanta       
21,Los Angeles   
22,Los Angeles   
23,Seattle       
24,Miami         
25,New York      
26,New York      
27,Atlanta       
28,Seattle       
29,Seattle       
30,Los Angeles   
31,Dallas        
32,Atlanta       
33,Houston       
34,Los Angeles   
35,New York      
36,Miami         
37,Dallas        
38,New York      
39,Boston        
40,Dallas        
41,Houston       
42,Dallas        
43,Dallas        
44,Boston        
45,San Francisco 
46,Boston        
47,Chicago       
48,Miami         
49,Boston        
50,New York      
51,Houston       
52,Miami         
53,Miami         
54,Dallas        
55,Los Angeles   
56,Chicago       
57,Atlanta       
58,Houston       
59,Dallas        
60,Miami         
61,Miami         
62,Houston       
63,San Francisco 
64,Dallas        
65,San Francisco 
66,Houston       
67,Miami         
68,Atlanta       
69,Chicago       
70,Houston       
71,Chicago       
72,New York      
73,Dallas        
74,Los Angeles   
75,Houston       
76,Chicago       
77,Dallas        
78,Atlanta       
79,New York      
80,Dallas        
81,New York      
82,Atlanta       
83,Los Angeles   
84,Houston       
85,Dallas        
86,Atlanta       
87,Houston       
88,Dallas        
89,New York      
90,Atlanta       
91,Chicago       
92,Atlanta       
93,Los Angeles   
94,Miami         
95,Los Angeles   
96,San Francisco 
97,Atlanta       
98,Dallas        
99,Chicago       
100,Miami         
101,New York      
102,Chicago       
103,Dallas        
104,Boston        
105,Houston       
106,Dallas        
107,New York      
108,Seattle       
109,Atlanta       
110,Miami         
111,Seattle       
112,Dallas        
113,Chicago       
114,Dallas        
115,Chicago       
116,Houston       
117,Miami         
118,San Francisco 
119,Miami         
120,Boston        
121,Seattle       
122,Boston        
123,Seattle       
124,Los Angeles   
125,Chicago       
126,Atlanta       
127,Miami         
128,Atlanta       
129,Los Angeles   
130,Boston        
131,Chicago       
132,Dallas        
133,Seattle       
134,Seattle       
135,Atlanta       
136,Dallas        
137,New York      
138,Atlanta       
139,New York      
140,Los Angeles   
141,New York      
142,New York      
143,Atlanta       
144,Los Angeles   
145,Miami         
146,Chicago       
147,Houston       
148,Dallas        
149,New York      
150,Seattle       
151,Seattle       
152,Atlanta       
153,Seattle       
154,Houston       
155,New York      
156,Miami         
157,Atlanta       
158,New York      
159,Dallas        
160,San Francisco 
161,New York      
162,Dallas        
163,San Francisco 
164,Seattle       
165,New York      
166,San Francisco 
167,Miami         
168,New York      
169,Chicago       
170,Atlanta       
171,Los Angeles   
172,San Francisco 
173,Houston       
174,Miami         
175,Atlanta       
176,San Francisco 
177,Chicago       
178,Atlanta       
179,Boston        
180,Miami         
181,Houston       
182,Seattle       
183,Los Angeles   
184,Miami         
185,Los Angeles   
186,San Francisco 
187,Dallas        
188,Los Angeles   
189,Chicago       
190,San Francisco 
191,Atlanta       
192,Los Angeles   
193,Atlanta       
194,Atlanta       
195,New York      
196,Atlanta       
197,Los Angeles   
198,Miami         
199,Seattle       
200,Los Angeles   
201,Chicago       
202,Dallas        
203,Dallas        
204,Boston        
205,San Francisco 
206,Chicago       
207,Seattle       
208,Los Angeles   
209,Boston        
210,Chicago       
211,San Francisco 
212,Los Angeles   
213,Houston       
214,Miami         
215,Miami         
216,Miami         
217,Boston        
218,New York      
219,San Francisco 
220,San Francisco 
221,Boston        
222,Chicago       
223,San Francisco 
224,Seattle       
225,San Francisco 
226,Miami         
227,Houston       
228,Miami         
229,San Francisco 
230,Chicago       
231,Boston        
232,Los Angeles   
233,New York      
234,Seattle       
235,Boston        
236,Seattle       
237,Dallas        
238,San Francisco 
239,Chicago       
240,San Francisco 
241,Seattle       
242,Seattle       
243,Miami         
244,Miami         
245,San Francisco 
246,New York      
247,Dallas        
248,San Francisco 
249,New York      
250,Chicago       
251,Chicago       
252,New York      
253,Miami         
254,Atlanta       
255,Boston        
256,Chicago       
257,Houston       
258,New York      
259,Los Angeles   
260,Seattle       
261,Boston        
262,Houston       
263,Chicago       
264,New York      
265,Chicago       
266,New York      
267,Los Angeles   
268,Los Angeles   
269,Dallas        
270,Boston        
271,Seattle       
272,New York      
273,San Francisco 
274,Atlanta       
275,Dallas        
276,Houston       
277,San Francisco 
278,Seattle       
279,Los Angeles   
280,Chicago       
281,Atlanta       
282,Boston        
283,New York      
284,Chicago       
285,Seattle       
286,New York      
287,New York      
288,Dallas        
